DS,Y
2024-03-05T20:23:29.559621,2
2024-03-05T20:38:46.625993,2
2024-03-05T20:54:03.694406,2
2024-03-05T21:09:20.174779,2
2024-03-05T21:24:36.860049,2
2024-03-05T21:39:54.75758,2
2024-03-05T21:55:11.45304,1
2024-03-05T22:10:28.379262,0
2024-03-05T22:25:53.047585,0
2024-03-05T22:41:10.933214,0
2024-03-05T22:56:27.251666,0
2024-03-05T23:11:43.36277,0
2024-03-05T23:26:59.957942,0
2024-03-05T23:42:16.515161,0
2024-03-05T23:57:32.6717,0
2024-03-06T00:12:50.746846,0
2024-03-06T00:28:06.866501,0
2024-03-06T00:43:25.610258,0
2024-03-06T00:58:42.404539,0
2024-03-06T01:13:58.657412,0
2024-03-06T01:29:15.122119,2
2024-03-06T01:44:31.874922,2
2024-03-06T01:59:50.59685,2
2024-03-06T02:15:08.790708,2
2024-03-06T02:30:25.777916,2
2024-03-06T02:45:42.651644,2
2024-03-06T03:01:00.596229,2
2024-03-06T03:16:18.276499,2
2024-03-06T03:31:35.776193,2
2024-03-06T03:46:54.353789,2
2024-03-06T04:02:14.427876,1
2024-03-06T04:17:30.981369,1
2024-03-06T04:32:49.013141,1
2024-03-06T04:48:05.91307,2
2024-03-06T05:03:23.19548,2
2024-03-06T05:18:40.805959,2
2024-03-06T05:33:58.36408,2
2024-03-06T05:49:15.435352,2
2024-03-06T06:04:34.497003,2
2024-03-06T06:19:54.142436,3
2024-03-06T06:35:11.022534,2
2024-03-06T06:50:28.806383,3
2024-03-06T07:05:46.754756,3
2024-03-06T07:21:04.892562,3
2024-03-06T07:36:22.12167,4
2024-03-06T07:51:56.302992,3
2024-03-06T08:07:12.709392,4
2024-03-06T08:22:30.060124,4
2024-03-06T08:37:46.804817,5
2024-03-06T08:53:04.847417,5
2024-03-06T09:08:21.622418,4
2024-03-06T09:23:38.772573,4
2024-03-06T09:38:55.318571,4
2024-03-06T09:54:12.851565,4
2024-03-06T10:09:29.105362,4
2024-03-06T10:24:45.762456,4
2024-03-06T10:40:03.285226,4
2024-03-06T10:55:19.889465,4
2024-03-06T11:10:36.859977,4
2024-03-06T11:25:54.909349,5
2024-03-06T11:41:11.555566,3
2024-03-06T11:56:28.401659,3
2024-03-06T12:11:44.643221,3
2024-03-06T12:27:01.920069,3
2024-03-06T12:42:19.129353,3
2024-03-06T12:57:36.57763,2
2024-03-06T13:12:55.13298,2
2024-03-06T13:28:12.866798,2
2024-03-06T13:43:30.050046,2
2024-03-06T13:58:47.063467,2
2024-03-06T14:14:03.984562,2
2024-03-06T14:29:20.646841,2
2024-03-06T14:44:38.398706,2
2024-03-06T14:59:55.699508,2
2024-03-06T15:15:13.227277,2
2024-03-06T15:30:30.526142,2
2024-03-06T15:45:49.534421,2
2024-03-06T16:01:06.786266,3
2024-03-06T16:16:24.72449,2
2024-03-06T16:31:42.003952,2
2024-03-06T16:46:59.270023,2
2024-03-06T17:02:16.242069,2
2024-03-06T17:17:33.386483,2
2024-03-06T17:32:52.56588,3
2024-03-06T17:48:10.398477,3
2024-03-06T18:03:28.237237,2
2024-03-06T18:18:45.540528,2
2024-03-06T18:34:03.488967,2
2024-03-06T18:49:20.239314,2
2024-03-06T19:04:38.565777,2
2024-03-06T19:19:57.157659,2
2024-03-06T19:35:19.852431,2
2024-03-06T19:50:39.292679,2
2024-03-06T20:05:57.281247,2
2024-03-06T20:21:14.900122,2
2024-03-06T20:36:30.804595,3
2024-03-06T20:51:48.078334,3
2024-03-06T21:07:04.27894,3
2024-03-06T21:22:22.062323,3
2024-03-06T21:37:38.566869,3
2024-03-06T21:52:55.447292,3
2024-03-06T22:08:11.450976,3
2024-03-06T22:23:27.682705,3
2024-03-06T22:38:44.497041,3
2024-03-06T22:54:00.653077,3
2024-03-06T23:09:17.055039,3
2024-03-06T23:24:33.451975,3
2024-03-06T23:39:50.900558,3
2024-03-06T23:55:07.20762,3
2024-03-07T00:10:26.013317,3
2024-03-07T00:25:42.402993,3
2024-03-07T00:41:00.127373,3
2024-03-07T00:56:16.377318,3
2024-03-07T01:11:32.95987,3
2024-03-07T01:26:49.791111,2
2024-03-07T01:42:06.245985,2
2024-03-07T01:57:22.553149,2
2024-03-07T02:12:38.99277,2
2024-03-07T02:27:55.144056,2
2024-03-07T02:43:11.908896,2
2024-03-07T02:58:30.14763,2
2024-03-07T03:13:46.502859,2
2024-03-07T03:29:03.063458,2
2024-03-07T03:44:19.335784,2
2024-03-07T03:59:36.203605,2
2024-03-07T04:14:53.555926,2
2024-03-07T04:30:09.961009,2
2024-03-07T04:45:28.402237,2
2024-03-07T05:00:46.137002,2
2024-03-07T05:16:03.883347,2
2024-03-07T05:31:22.19816,2
2024-03-07T05:46:39.891247,2
2024-03-07T06:01:57.267432,2
2024-03-07T06:17:14.671782,3
2024-03-07T06:32:33.623799,3
2024-03-07T06:47:51.604148,3
2024-03-07T07:03:09.44067,3
2024-03-07T07:18:28.395955,4
2024-03-07T07:33:46.282113,5
2024-03-07T07:49:02.983567,5
2024-03-07T08:04:19.868653,5
2024-03-07T08:19:38.1758,5
2024-03-07T08:34:56.265463,6
2024-03-07T08:50:14.962639,7
2024-03-07T09:05:34.39285,9
2024-03-07T09:20:52.146288,8
2024-03-07T09:36:09.991018,8
2024-03-07T09:51:29.647813,8
2024-03-07T10:06:46.68408,7
2024-03-07T10:22:03.695376,7
2024-03-07T10:37:20.701343,7
2024-03-07T10:53:21.31239,7
2024-03-07T11:08:44.811278,7
2024-03-07T11:24:02.616617,5
2024-03-07T11:39:19.528853,4
2024-03-07T11:54:36.93947,4
2024-03-07T12:09:54.335908,4
2024-03-07T12:25:10.999276,4
2024-03-07T12:40:30.033955,4
2024-03-07T12:55:47.177081,4
2024-03-07T13:11:04.086547,3
2024-03-07T13:26:20.612591,3
2024-03-07T13:41:37.672468,3
2024-03-07T13:56:55.744977,3
2024-03-07T14:12:12.44067,3
2024-03-07T14:27:32.304883,3
2024-03-07T14:42:49.83785,3
2024-03-07T14:58:06.435843,3
2024-03-07T15:13:23.652148,3
2024-03-07T15:28:40.696466,3
2024-03-07T15:43:58.890702,2
2024-03-07T15:59:17.158455,2
2024-03-07T16:14:35.948576,2
2024-03-07T16:29:53.280252,2
2024-03-07T16:45:09.967847,2
2024-03-07T17:00:30.070877,2
2024-03-07T17:15:48.838914,2
2024-03-07T17:31:07.248163,2
2024-03-07T17:46:25.028338,2
2024-03-07T18:01:43.990777,3
2024-03-07T18:17:01.854462,3
2024-03-07T18:32:19.310859,3
2024-03-07T18:47:36.641245,3
2024-03-07T19:02:53.955245,4
2024-03-07T19:18:11.171323,4
2024-03-07T19:33:31.799486,3
2024-03-07T19:48:49.466276,3
2024-03-07T20:04:06.983294,2
2024-03-07T20:19:25.465178,2
2024-03-07T20:34:43.796967,2
2024-03-07T20:50:02.203517,2
2024-03-07T21:05:20.505654,2
2024-03-07T21:20:37.150327,2
2024-03-07T21:35:56.032256,2
2024-03-07T21:51:13.937257,2
2024-03-07T22:06:32.0669,2
2024-03-07T22:21:49.214871,2
2024-03-07T22:37:05.513635,2
2024-03-07T22:52:22.461776,2
2024-03-07T23:07:39.52558,2
2024-03-07T23:22:57.490889,2
2024-03-07T23:38:14.570057,2
2024-03-07T23:53:32.349654,2
2024-03-08T00:08:50.015585,2
2024-03-08T00:24:07.252585,2
2024-03-08T00:39:25.435099,2
2024-03-08T00:54:42.344327,2
2024-03-08T01:09:57.118602,2
2024-03-08T01:25:15.666033,2
2024-03-08T01:40:33.95162,2
2024-03-08T01:55:51.319794,2
2024-03-08T02:11:08.817606,2
2024-03-08T02:26:28.596665,2
2024-03-08T02:41:45.694837,2
2024-03-08T02:57:02.689535,2
2024-03-08T03:12:19.81406,2
2024-03-08T03:27:37.493111,2
2024-03-08T03:42:54.109281,2
2024-03-08T03:58:11.368872,2
2024-03-08T04:13:30.01895,2
2024-03-08T04:28:48.08249,2
2024-03-08T04:44:04.735865,2
2024-03-08T04:59:21.678635,2
2024-03-08T05:14:38.356133,2
2024-03-08T05:29:55.107928,2
2024-03-08T05:45:12.890139,2
2024-03-08T06:00:33.622478,2
2024-03-08T06:15:52.572132,2
2024-03-08T06:31:11.325335,3
2024-03-08T06:46:30.82352,3
2024-03-08T07:01:49.450527,4
2024-03-08T07:17:06.830489,5
2024-03-08T07:32:24.587623,8
2024-03-08T07:47:41.276542,10
2024-03-08T08:02:59.081021,13
2024-03-08T08:18:16.937768,15
2024-03-08T08:33:34.863438,17
2024-03-08T08:48:54.330936,18
2024-03-08T09:04:11.416443,21
2024-03-08T09:20:16.334516,21
2024-03-08T09:35:34.703257,22
2024-03-08T09:50:54.561097,0
2024-03-08T10:06:17.697569,25
2024-03-08T10:22:10.781948,24
2024-03-08T10:37:30.053009,23
2024-03-08T10:52:49.977442,22
2024-03-08T11:08:07.44365,21
2024-03-08T11:23:24.630496,21
2024-03-08T11:38:46.927141,18
2024-03-08T11:54:04.32565,18
2024-03-08T12:09:21.036343,20
2024-03-08T12:24:38.206468,18
2024-03-08T12:39:55.626787,16
2024-03-08T12:55:13.222219,16
2024-03-08T13:10:32.647751,17
2024-03-08T13:25:50.799891,18
2024-03-08T13:41:08.907426,18
2024-03-08T13:56:25.803253,18
2024-03-08T14:11:42.711233,18
2024-03-08T14:27:00.141242,19
2024-03-08T14:42:17.754507,17
2024-03-08T14:57:35.612463,15
2024-03-08T15:12:52.92431,15
2024-03-08T15:28:10.294986,14
2024-03-08T15:43:29.465713,13
2024-03-08T15:58:47.24502,12
2024-03-08T16:14:05.071821,12
2024-03-08T16:44:39.845813,9
2024-03-08T16:59:58.132473,9
2024-03-08T17:15:17.334963,7
2024-03-08T17:30:37.494601,6
2024-03-08T17:45:55.879716,5
2024-03-08T18:01:16.083461,4
2024-03-08T18:16:36.459025,3
2024-03-08T18:31:54.977508,3
2024-03-08T18:47:13.46431,1
2024-03-08T19:02:34.730762,1
2024-03-08T19:17:53.460552,1
2024-03-08T19:33:12.161513,1
2024-03-08T19:48:33.241122,1
2024-03-08T20:03:53.055355,1
2024-03-08T20:19:11.3706,2
2024-03-08T20:34:32.722123,2
2024-03-08T20:49:51.182876,2
2024-03-08T21:05:09.992943,2
2024-03-08T21:20:30.431051,2
2024-03-08T21:35:49.64927,2
2024-03-08T21:51:08.16236,2
2024-03-08T22:06:25.596818,2
2024-03-08T22:21:43.014771,2
2024-03-08T22:37:00.78314,2
2024-03-08T22:52:18.861968,2
2024-03-08T23:07:37.355973,2
2024-03-08T23:22:54.878011,2
2024-03-08T23:38:12.680043,2
2024-03-08T23:53:30.409772,2
2024-03-09T00:08:48.196856,2
2024-03-09T00:24:05.677282,2
2024-03-09T00:39:26.430681,2
2024-03-09T00:54:44.499825,2
2024-03-09T01:10:01.54749,2
2024-03-09T01:25:20.037451,2
2024-03-09T01:40:39.164604,2
2024-03-09T01:55:56.359305,2
2024-03-09T02:11:13.93198,2
2024-03-09T02:26:33.251681,2
2024-03-09T02:41:51.355424,2
2024-03-09T02:57:09.829435,2
2024-03-09T03:12:26.923859,2
2024-03-09T03:27:45.53536,2
2024-03-09T03:43:03.544979,2
2024-03-09T03:58:21.816825,2
2024-03-09T04:13:39.731439,2
2024-03-09T04:28:57.587463,2
2024-03-09T04:44:15.473694,2
2024-03-09T04:59:35.324921,2
2024-03-09T05:14:52.658502,3
2024-03-09T05:30:11.786641,3
2024-03-09T05:45:30.202194,2
2024-03-09T06:00:49.047498,2
2024-03-09T06:16:08.03539,2
2024-03-09T06:31:27.687077,3
2024-03-09T06:46:46.890192,3
2024-03-09T07:02:05.832503,5
2024-03-09T07:17:24.039346,6
2024-03-09T07:32:43.281687,7
2024-03-09T07:48:01.890872,8
2024-03-09T08:03:20.645199,10
2024-03-09T08:18:40.50368,12
2024-03-09T08:33:58.587733,15
2024-03-09T08:49:17.757234,18
2024-03-09T09:04:39.942015,23
2024-03-09T09:19:59.9035,25
2024-03-09T09:35:20.343819,28
2024-03-09T09:50:41.151231,30
2024-03-09T10:06:00.518372,35
2024-03-09T10:21:20.589752,35
2024-03-09T10:36:39.971945,37
2024-03-09T10:51:58.279231,35
2024-03-09T11:07:15.976542,35
2024-03-09T11:22:34.859526,37
2024-03-09T11:37:53.172613,39
2024-03-09T11:53:11.612343,40
2024-03-09T12:08:29.410035,41
2024-03-09T12:23:47.945952,41
2024-03-09T12:39:05.683463,40
2024-03-09T12:54:23.994614,38
2024-03-09T13:09:42.217313,38
2024-03-09T13:25:00.521561,34
2024-03-09T13:40:21.064161,30
2024-03-09T13:55:39.191174,28
2024-03-09T14:10:58.501764,26
2024-03-09T14:26:16.539703,25
2024-03-09T14:41:36.542322,25
2024-03-09T14:56:54.646647,21
2024-03-09T15:12:12.897095,18
2024-03-09T15:27:31.765917,14
2024-03-09T15:42:50.858219,11
2024-03-09T15:58:08.852476,10
2024-03-09T16:13:27.107752,8
2024-03-09T16:28:45.103699,8
2024-03-09T16:44:02.916268,7
2024-03-09T16:59:21.131277,6
2024-03-09T17:14:41.75533,6
2024-03-09T17:29:59.780877,5
2024-03-09T17:45:19.372637,5
2024-03-09T18:00:41.070878,5
2024-03-09T18:16:03.204757,5
2024-03-09T18:31:23.690426,4
2024-03-09T18:46:47.783377,4
2024-03-09T19:02:06.953984,4
2024-03-09T19:17:25.987698,4
2024-03-09T19:32:45.483079,4
2024-03-09T19:48:04.111524,4
2024-03-09T20:03:22.695417,4
2024-03-09T20:18:41.843402,4
2024-03-09T20:34:00.916029,5
2024-03-09T20:49:18.847589,4
2024-03-09T21:04:39.936828,4
2024-03-09T21:19:58.730949,4
2024-03-09T21:35:17.790953,4
2024-03-09T21:50:38.93499,4
2024-03-09T22:05:57.808282,4
2024-03-09T22:21:16.222922,4
2024-03-09T22:36:35.838517,4
2024-03-09T22:51:54.431919,4
2024-03-09T23:07:12.605274,4
2024-03-09T23:22:30.910571,4
2024-03-09T23:37:49.245485,4
2024-03-09T23:53:06.950861,4
2024-03-10T00:08:24.743295,0
2024-03-10T00:23:44.737797,4
